id,Horizontal direction,Neu_class,Neuropil,Projection mode,anatomy group ID,cell cluster ID,compartment,compartment ID,connectivity type,glomerulus ID,glomerulus ID1,instance,layer ID,status,subtype,type,type ID,unkown,unkown ID,unkown type,unkownID
765063664,,VESt,Vest neuropil neurons,,,,,,,,,VES080,,VES080,,,080,,,,
388612388,,Fan-shaped body - Superior medial protocerebrum,Central complex neuropil neurons,,,,,,,,,FS4A,,FS4A,,4,,A,,,
1252677095,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC24,,LC24,,,24,,,,
5812980272,,Lateral Horn Anterior Dorsal cell clusters,Lateral horn neuropil neurons,,a,3,,,b,,,LHAD3a10_b,,LHAD3a10,,,10,,,,
1199155298,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC61,,MC61,,,61,,,,
830034406,,Lateral Accessory lobe,Lateral accessory lobe neuropil neurons,,,,,,,,,LAL154,,LAL154,,,154,,,,
1227735330,,fan-shaped body vertical Delta within a single column,Central complex neuropil neurons,,,,,,,,,vDeltaB,,vDeltaB,,,B,,,,
5813083723,,Multiglomerular _  Projection neuron,Antennal lobe neuropil neurons,,,,,,,,,M_l2PNm17,,M_l2PNm17,,,,,,,
508940291,,Kenyon Cell gamma lobe,Mushroom body neuropil neurons,,,,,,,,,KCg-m,m,KCg-m,,,,,,,
489686575,,CLamp,Clamp neuropil neurons,,,,,,,,,CL038,,CL038,,,038,,,,
1137422212,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC61,,MC61,,,61,,,,
1163868121,,fan-shaped body vertical Delta within a single column,Central complex neuropil neurons,,,,,,,,,vDeltaH,,vDeltaH,,,H,,,,
519214895,,Kenyon Cell alpha’-beta’ lobe,Mushroom body neuropil neurons,,,,,,,,,KCa'b'-ap1,ap1,KCa'b'-ap1,,,,,,,
424733177,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP253,,SLP253,,,253,,,,
5812994421,,Lobula - Lobula Plate Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LLPC3,,LLPC3,,,3,,,,
1046087606,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC65,,MC65,,,65,,,,
1159953225,,Medulla Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,MC62,,MC62,,,62,,,,
2121719944,,,,,,,,,,,,None,,None,,,,,,,
1136399017,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC10,,LC10,,,10,,,,
1534448646,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC21,,LC21,,,21,,,,
1850241606,,WEDge,Wedge neuropil neurons,,,,,,b,,,WED063_b,,WED063,,,063,,,,
297917363,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP084,,SMP084,,,084,,,,
642715875,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,a,,,SMP018_a,,SMP018,,,018,,,,
982688871,,Anterior Optic TUbercle,Anterior optic tubercle neuropil neurons,,,,,,,,,AOTU062,,AOTU062,,,062,,,,
5813040711,,,,,,,,,,,,None,,None,,,,,,,
702730227,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP270,,SMP270,,,270,,,,
544706811,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP246,,SMP246,,,246,,,,
1072503099,,Fan-shaped body - Crepine,Central complex neuropil neurons,,,,,,,,,FC1E,,FC1E,,1,,E,,,
1932401609,,,,,,,,,,,,None,,None,,,,,,,
1202470836,,MB-associated DAN Protocerebral Anterior Medial cluster,Mushroom body neuropil neurons,,,,,,,,,PAM07,,PAM07,,,07,,,,
1386784924,,Anterior VentroLateral protocerebrum,Antler neuropil neurons,,,,,,,,,AVLP115,,AVLP115,,,115,,,,
487144598,,Lateral Horn CENTrifugal,Lateral horn neuropil neurons,,,,,,,,,LHCENT3,,LHCENT3,,,3,,,,
1261768832,,Ellipsoid body Ring neuron,Central complex neuropil neurons,,,,,,c,,,ER3a_c,,ER3a,,3,3,,,,
5812980561,,c,Mushroom body neuropil neurons,,,,,,,,,KCab-m,m,KCab-m,,,,,,,
1535769552,,Lobula Tangential,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LT52,,LT52,,,52,,,,
541680980,,,,,,,,,,,,None,,None,,,,,,,
1222696201,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC27,,LC27,,,27,,,,
2121685030,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC13,,LC13,,,13,,,,
1406073671,,Inferior bridge,Inferior bridge neuropil neurons,,,,,,,,,IB099,,IB099,,,099,,,,
1158877783,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC17,,LC17,,,17,,,,
1507446240,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC15,,LC15,,,15,,,,
296156918,,Superior medial protocerebrum - Asymmetrical body,Central complex neuropil neurons,,,,,,b,,,SA1_b,,SA1,,1,1,,,,
923661937,,Lobula Columnar,Visual projection neurons and intrinsic neurons of the optic lobe,,,,,,,,,LC10,,LC10,,,10,,,,
1753449078,,WEDge,Wedge neuropil neurons,,,,,,,,,WED051,,WED051,,,051,,,,
2093097881,,WEDge,Wedge neuropil neurons,,,,,,,,,WED030,,WED030,,,030,,,,
643401816,,Superior Medial protocerebrum,Superior medial protocerebrum neuropil neurons,,,,,,,,,SMP055,,SMP055,,,055,,,,
5813011738,,Superior Lateral protocerebrum,Superior lateral protocerebrum neuropil neurons,,,,,,,,,SLP371,,SLP371,,,371,,,,
